word,radical,pinyin,label,bounds,flags
基,土,jī,O,B,n
金,金,jīn,O,M,n
项,页,xiàng,O,M,n
目,目,mù,O,E,n
:,UNK,UNK,O,S,x
公,八,gōng,O,B,n
益,皿,yì,O,M,n
性,忄,xìng,O,E,n
卫,卩,wèi,O,B,an
生,生,shēng,O,E,an
行,行,háng,O,B,n
业,一,yè,O,E,n
科,禾,kē,O,B,n
研,石,yán,O,E,n
专,一,zhuān,O,B,n
项,页,xiàng,O,E,n
(,UNK,UNK,O,S,x
num,UNK,UNK,O,B,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,E,m
),UNK,UNK,O,S,x
LB,UNK,UNK,O,S,x
院,阝,yuàn,O,B,n
核,木,hé,O,E,n
医,匚,yī,O,B,n
学,子,xué,O,M,n
科,禾,kē,O,E,n
(,UNK,UNK,O,S,x
黄,黄,huáng,O,B,nr
钢,钅,gāng,O,E,nr
),UNK,UNK,O,S,x
LB,UNK,UNK,O,S,x
num,UNK,UNK,B-Drug,B,m
num,UNK,UNK,I-Drug,M,m
num,UNK,UNK,I-Drug,E,m
SPACE,UNK,UNK,I-Drug,S,x
I,UNK,UNK,I-Drug,S,x
SPACE,UNK,UNK,O,S,x
治,氵,zhì,O,B,v
疗,疒,liáo,O,E,v
格,木,gé,B-Disease,B,nrt
雷,雨,léi,I-Disease,M,nrt
夫,大,fū,I-Disease,M,nrt
斯,斤,sī,I-Disease,E,nrt
甲,田,jiǎ,I-Disease,B,n
亢,亠,kàng,I-Disease,E,n
指,扌,zhǐ,O,B,n
南,十,nán,O,E,n
LB,UNK,UNK,O,S,x
(,UNK,UNK,O,S,x
num,UNK,UNK,O,B,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,E,m
SPACE,UNK,UNK,O,S,x
版,片,bǎn,O,S,n
),UNK,UNK,O,S,x
LB,UNK,UNK,O,S,x
中,丨,zhōng,O,B,nt
华,十,huá,O,M,nt
医,匚,yī,O,M,nt
学,子,xué,O,M,nt
会,人,huì,O,E,nt
核,木,hé,O,B,n
医,匚,yī,O,M,n
学,子,xué,O,E,n
分,刀,fēn,O,B,n
会,人,huì,O,E,n
LB,UNK,UNK,O,S,x
编,纟,biān,O,B,v
写,冖,xiě,O,E,v
委,女,wěi,O,B,n
员,口,yuán,O,M,n
会,人,huì,O,E,n
LB,UNK,UNK,O,S,x
蒋,艹,jiǎng,O,B,nr
宁,宀,níng,O,E,nr
一,一,yī,O,S,m
SPACE,UNK,UNK,O,S,x
SPACE,UNK,UNK,O,S,x
num,UNK,UNK,O,B,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,E,m
SPACE,UNK,UNK,O,S,x
广,广,guǎng,O,B,ns
州,川,zhōu,O,E,ns
",",UNK,UNK,O,S,x
sep,sep,sep,sep,sep,sep
中,丨,zhōng,O,B,nt
山,山,shān,O,M,nt
大,大,dà,O,M,nt
学,子,xué,O,E,nt
孙,子,sūn,O,S,zg
≥,UNK,UNK,O,S,x
仙,亻,xiān,O,S,ng
纪,纟,jì,O,B,n
念,心,niàn,O,E,n
医,匚,yī,O,B,n
院,阝,yuàn,O,E,n
核,木,hé,O,S,n
医,匚,yī,O,B,n
学,子,xué,O,M,n
科,禾,kē,O,E,n
LB,UNK,UNK,O,S,x
林,木,lín,O,B,nr
岩,山,yán,O,M,nr
松,木,sōng,O,E,nr
SPACE,UNK,UNK,O,S,x
SPACE,UNK,UNK,O,S,x
num,UNK,UNK,O,B,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,E,m
SPACE,UNK,UNK,O,S,x
中,丨,zhōng,O,B,nt
国,囗,guó,O,M,nt
医,匚,yī,O,M,nt
学,子,xué,O,M,nt
科,禾,kē,O,M,nt
学,子,xué,O,M,nt
院,阝,yuàn,O,E,nt
、,UNK,UNK,O,S,x
北,匕,běi,O,B,ns
京,亠,jīng,O,E,ns
协,十,xié,O,B,nz
和,口,hé,O,E,nz
医,匚,yī,O,B,n
学,子,xué,O,M,n
院,阝,yuàn,O,E,n
北,匕,běi,O,B,nt
京,亠,jīng,O,M,nt
协,十,xié,O,M,nt
和,口,hé,O,M,nt
医,匚,yī,O,M,nt
院,阝,yuàn,O,E,nt
核,木,hé,O,S,n
医,匚,yī,O,B,n
学,子,xué,O,M,n
科,禾,kē,O,E,n
LB,UNK,UNK,O,S,x
关,丷,guān,O,B,nr
海,氵,hǎi,O,M,nr
霞,雨,xiá,O,E,nr
SPACE,UNK,UNK,O,S,x
SPACE,UNK,UNK,O,S,x
num,UNK,UNK,O,B,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
num,UNK,UNK,O,M,m
